time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
403898,0.05,754.08,465,36.82397726000001,0.5358315706253052,0.0001,1028,868,100949
407898,0.05,771.64,469,27.04567038,0.33470988273620605,0.0001,1032,868,101949
411171,0.05,789.04,473,22.3929184,1.8358423709869385,0.0001,1036,867,102767
415171,0.05,802.57,478,18.59299172,0.5368983745574951,0.0001,1040,867,103767
419171,0.05,829.98,483,14.93716904,0.3515588641166687,0.0001,1044,867,104767
423171,0.05,849.25,488,12.76733072,0.2622300684452057,0.0001,1048,867,105767
425676,0.05,848.97,491,9.913669800000003,0.40515461564064026,0.0001,1052,866,106393
429676,0.05,862.72,495,4.079155570000003,0.6107699275016785,0.0001,1056,866,107393
433676,0.05,868.59,500,2.3684740400000006,0.2145427018404007,0.0001,1060,866,108393
437676,0.05,874.67,505,0.20646092999999907,3.4477171897888184,0.0001,1064,866,109393
441676,0.05,890.65,510,-6.318903210000001,0.7175880074501038,0.0001,1068,865,110393
444229,0.05,886.1,513,-8.89190912,0.3868185877799988,0.0001,1072,865,111032
448229,0.05,894.73,517,-11.679553599999998,0.2019275426864624,0.0001,1076,865,112032
452229,0.05,901.86,522,-10.149044029999999,0.4951089024543762,0.0001,1080,865,113032
456229,0.05,919.29,527,-18.200766749999996,2.074268102645874,0.0001,1084,864,114032
460229,0.05,926.37,532,-18.407729049999997,0.5036849975585938,0.0001,1088,864,115032
464229,0.05,936.14,537,-24.01656122,0.4224916994571686,0.0001,1092,864,116032
468229,0.05,936.14,542,-24.181974859999997,0.17261239886283875,0.0001,1096,863,117032
472229,0.05,943.84,546,-23.317365070000005,3.7668709754943848,0.0001,1100,863,118032
476229,0.05,956.18,551,-22.492408969999996,0.3791023790836334,0.0001,1104,863,119032
480229,0.05,956.18,556,-21.79366705,0.4224528670310974,0.0001,1108,863,120032
483498,0.05,948.87,560,-21.35326161,0.40959787368774414,0.0001,1112,863,120849
487498,0.05,948.87,564,-21.17805507,3.6775920391082764,0.0001,1116,862,121849
491498,0.05,956.0,569,-19.97964716,0.3877905607223511,0.0001,1120,862,122849
495498,0.05,956.0,574,-20.039589139999997,0.3709394931793213,0.0001,1124,861,123849
499498,0.05,956.0,581,-19.320341390000003,0.5041898488998413,0.0001,1128,859,124849
503498,0.05,956.0,586,-19.3813296,0.4598710536956787,0.0001,1132,858,125849
507498,0.05,963.27,591,-18.927751020000002,0.257061243057251,0.0001,1136,857,126849
